datetime,open,high,low,close,volume
2025-08-05 20:00:00,147.608,147.621,147.555,147.568,1535
2025-08-05 21:00:00,147.569,147.569,147.507,147.548,1116
2025-08-05 22:00:00,147.55,147.642,147.545,147.566,1687
2025-08-05 23:00:00,147.567,147.645,147.513,147.523,2746
2025-08-06 00:00:00,147.52,147.618,147.446,147.582,5276
2025-08-06 01:00:00,147.584,147.728,147.584,147.693,4599
2025-08-06 02:00:00,147.694,147.751,147.523,147.555,4610
2025-08-06 03:00:00,147.55,147.556,147.33,147.399,4094
2025-08-06 04:00:00,147.398,147.447,147.304,147.345,3918
2025-08-06 05:00:00,147.347,147.547,147.336,147.45,4127
2025-08-06 06:00:00,147.453,147.548,147.362,147.548,5709
2025-08-06 07:00:00,147.552,147.693,147.531,147.563,6314
2025-08-06 08:00:00,147.558,147.846,147.557,147.808,6388
2025-08-06 09:00:00,147.807,147.885,147.713,147.823,5720
2025-08-06 10:00:00,147.823,147.842,147.562,147.583,7176
2025-08-06 11:00:00,147.58,147.655,147.441,147.54,5337
2025-08-06 12:00:00,147.544,147.596,147.405,147.441,6396
2025-08-06 13:00:00,147.44,147.453,147.238,147.242,8009
2025-08-06 14:00:00,147.247,147.438,147.244,147.39,8597
2025-08-06 15:00:00,147.392,147.656,147.212,147.259,8742
2025-08-06 16:00:00,147.255,147.418,147.216,147.35,7934
2025-08-06 17:00:00,147.349,147.401,147.216,147.241,6865
2025-08-06 18:00:00,147.238,147.276,146.977,147.067,5736
2025-08-06 19:00:00,147.07,147.189,147.066,147.184,4244
2025-08-06 20:00:00,147.188,147.281,147.167,147.243,1853
2025-08-06 21:00:00,147.311,147.429,147.297,147.31,888
2025-08-06 22:00:00,147.328,147.349,147.205,147.217,2378
2025-08-06 23:00:00,147.223,147.253,147.152,147.195,2718
2025-08-07 00:00:00,147.194,147.599,147.17,147.584,6579
2025-08-07 01:00:00,147.583,147.682,147.482,147.496,6286
2025-08-07 02:00:00,147.495,147.576,147.442,147.564,4281
2025-08-07 03:00:00,147.565,147.708,147.479,147.515,4259
2025-08-07 04:00:00,147.518,147.534,147.27,147.307,4556
2025-08-07 05:00:00,147.31,147.348,147.211,147.277,4934
2025-08-07 06:00:00,147.272,147.303,146.799,146.856,7325
2025-08-07 07:00:00,146.856,146.96,146.69,146.806,8426
2025-08-07 08:00:00,146.81,147.184,146.782,147.132,9529
2025-08-07 09:00:00,147.129,147.352,147.112,147.347,6143
2025-08-07 10:00:00,147.349,147.402,147.281,147.326,6032
2025-08-07 11:00:00,147.327,147.494,147.255,147.313,7777
2025-08-07 12:00:00,147.312,147.394,147.02,147.288,8968
